Collection_ID,Collection_Name
173788037220,Gift Certificates
166095618148,New Arrivals 
162061090916,Sale Corner
166156173412,Top Sellers
166153846884,Gift Ideas
162060992612,More Categories
166156206180,Promotions
173795475556,Bargain Suits
173795508324,Hot New Styles
166157353060,New Men's Gear for 2006
173795541092,XDskin™ Sale
173795573860,Waterproof MP3's
162061549668,By the pool
166157385828,In the pool
166157418596,Men's by the pool
166157451364,Men's in the pool
162061615204,Collections
173800489060,Speedo
173801046116,TYR
173801308260,Nike
173801439332,Reebok
173801472100,Arena
162063351908,Dolfin
162062598244,Speedo Fastskin & FSII
173800849508,Speedo XD Skin
162062631012,Speedo Endurance
173800882276,Speedo Axcelerate
173801242724,TYR Aqua Shift
162062925924,TYR Fusion
162062958692,TYR Alliance
173801406564,Nike Vallejo
162063417444,Dolfin Uglies
162063286372,Arena Powerskin
166154960996,Under $25 - For Him
166154993764,Under $25 - For Her
166155026532,Under $25 - For Kids
162210807908,Stocking Stuffers
166155059300,Under $50 - For Him
166155092068,Under $50 - For Her
166155124836,Under $50 - For Kids
166155157604,Under $100 - For Him
166155190372,Under $100 - For Her
166155223140,Under $100 - For Kids
166155255908,Under $200 - For Him
166155288676,Under $200 - For Her
166155321444,Under $200 - For Kids
166157484132,Camel Swim
162062663780,Speedo Flipturns
173800915044,Speedo Team Next
173801275492,TYR Funkies
166157516900,Suits That Stand Out!
173801013348,Speedo Begin to Swim
166155386980,Vacation Gift Ideas
166155452516,For Him
166155485284,For Her
166155518052,Accessories
166155550820,For Kids
162061582436,TYR New Clearance
162063056996,TYR Tracer Technology
162060894308,Valentine's Day Gift Guide
166153879652,For Her
166153912420,For Him
166158958692,Speedo LZR Racer
162061156452,Lifeguard Clearance
173789151332,Competition Tankini Tops
162062205028,Speedo Aquatic Fitness
166158991460,Endurance
173800521828,Resort
166159024228,Modern Classic Fit (Moderate)
173800554596,Classic Fit (Conservative)
173800587364,Contemporary Fit
173800620132,Long Torso Fit
166154240100,St. Patrick's Day
162181218404,The Finals Funnies
166156238948,Mother's Day
166156304484,July 4th
